volume,vwap,open,close,high,low,time,transactions
1051764112.0,5.383,5.2521,5.4146,5.4868,5.25,1207195200,183157
854767592.0,5.4491,5.4354,5.4671,5.5255,5.385,1207281600,156786
1159087664.0,5.6095,5.5761,5.5675,5.7032,5.5396,1207540800,219637
1015241528.0,5.5046,5.4839,5.4586,5.5875,5.44,1207627200,190575
873911500.0,5.4185,5.4754,5.4086,5.4961,5.3736,1207713600,172153
956488988.0,5.5009,5.3975,5.5196,5.5507,5.3786,1207800000,176376
1210074488.0,5.3468,5.4543,5.255,5.475,5.2286,1207886400,236635
845163088.0,5.262,5.2418,5.2779,5.3304,5.1621,1208145600,165678
698036724.0,5.2759,5.3357,5.2993,5.3471,5.2043,1208232000,135729
795771760.0,5.4566,5.4186,5.4893,5.5036,5.3793,1208318400,155493
705299812.0,5.5266,5.5061,5.5175,5.5714,5.4768,1208404800,141951
1026763976.0,5.7287,5.6829,5.7514,5.795,5.6564,1208491200,192413
1039152520.0,5.8928,5.7932,6.0057,6.0179,5.7771,1208750400,199086
1439173372.0,5.7811,5.9786,5.7214,6.0,5.6461,1208836800,261273
1503966828.0,5.8185,5.8589,5.8175,5.8871,5.7529,1208923200,271674
1697255644.0,5.9283,5.905,6.0336,6.0707,5.6855,1209009600,299113
992462800.0,6.0403,6.0964,6.0618,6.1107,5.9436,1209096000,174063
787209752.0,6.1401,6.0625,6.1514,6.2054,6.0404,1209355200,147667
923475420.0,6.2144,6.1111,6.2518,6.2736,6.0804,1209441600,172005
1139516784.0,6.3049,6.2925,6.2125,6.4286,6.1757,1209528000,219537
903570304.0,6.3638,6.2486,6.4286,6.4286,6.245,1209614400,165969
1006079704.0,6.4335,6.4354,6.4621,6.4971,6.3768,1209700800,191070
854556892.0,6.5674,6.4971,6.5975,6.6182,6.4661,1209960000,163670
918869420.0,6.6068,6.595,6.6664,6.6829,6.5064,1210046400,179502
1157132900.0,6.598,6.6446,6.5211,6.7214,6.4479,1210132800,225750
899084144.0,6.5996,6.5625,6.6093,6.6607,6.5382,1210219200,174704
673070860.0,6.5359,6.5414,6.5518,6.5804,6.4775,1210305600,133813
819365960.0,6.664,6.6146,6.72,6.7454,6.5304,1210564800,158365
823235868.0,6.7848,6.7361,6.7843,6.8375,6.7093,1210651200,165913
916823040.0,6.7678,6.8311,6.6521,6.8657,6.6275,1210737600,174076
873207384.0,6.6949,6.6714,6.7761,6.7821,6.5786,1210824000,170163
765767436.0,6.7307,6.7896,6.7007,6.7964,6.6786,1210910400,145404
946293544.0,6.6291,6.7093,6.5571,6.7389,6.475,1211169600,186703
969849244.0,6.5712,6.4936,6.6393,6.6486,6.4329,1211256000,187321
1157656220.0,6.4939,6.6311,6.3639,6.7143,6.2946,1211342400,225526
1206962932.0,6.3348,6.4021,6.3232,6.4761,6.1429,1211428800,231438
908326832.0,6.4475,6.4561,6.4704,6.4996,6.35,1211515200,172984
789904388.0,6.5757,6.5268,6.6582,6.6582,6.4943,1211860800,147546
743977948.0,6.6407,6.6932,6.6789,6.7125,6.5614,1211947200,146332
647186372.0,6.6774,6.67,6.6675,6.7214,6.625,1212033600,123776
610182300.0,6.7383,6.6946,6.7411,6.7693,6.6921,1212120000,112393
679816900.0,6.6533,6.7357,6.6464,6.7732,6.5904,1212379200,136745
757387876.0,6.6392,6.6736,6.6204,6.7214,6.512,1212465600,145053
727467104.0,6.6151,6.5721,6.6139,6.6818,6.5439,1212552000,143501
755438656.0,6.7209,6.655,6.7654,6.78,6.6321,1212638400,142761
965904100.0,6.7014,6.7143,6.63,6.7839,6.6268,1212724800,189742
1888385380.0,6.461,6.5996,6.4861,6.605,6.2768,1212984000,353580
1140939660.0,6.5942,6.4468,6.63,6.6707,6.3936,1213070400,204724
961067996.0,6.508,6.5836,6.4575,6.6429,6.4139,1213156800,182383
1307771220.0,6.2799,6.4818,6.1879,6.5214,6.1143,1213243200,227108
1345381212.0,6.0947,6.13,6.1561,6.22,5.9039,1213329600,240018
1051729504.0,6.2059,6.1179,6.3157,6.3536,6.0382,1213588800,191621
900155732.0,6.4415,6.3607,6.4796,6.4996,6.3361,1213675200,165221
