channel_title,channel_id,view_count,subscriber_count,video_count
diet kitchen,UC2YUVYO12gxBxcglmM6kQuA,3434479,79900,104
ProLon Fasting Nutrition Program,UC7b4pfmjlMQmLSCIb220yhw,3361722,40800,61
World Nutrition Center 2,UC7RBxnbY4DRY5_JPn4H2-fg,3268827,21900,1416
Rocka Nutrition,UCRa7-EliCmDEfihY-YmiHsQ,3174582,13700,387
Best Kidney Diet,UCEAFX0dIqzxrSKT9SA961KQ,3106726,34300,754
Michelle Roots Fitness & Nutrition Coach,UCHSxl5c1nobpsKtBIyvjKvQ,3093708,64300,417
XXL Nutrition,UCtYqRQb6nvLiUJHnGzN0X-w,3059261,23500,103
10 Day Detox Diet,UCduxMz1o7RIMQOBo3H4xyfQ,2835875,32600,52
PYARA NUTRITION,UC9PMYD6S_zFrArnFxpPr1Tw,2821085,23900,966
Nutrition by Victoria,UCWrn006DKOY9dfLcvF66odQ,2817964,10200,529
GOMATA NUTRITION & HEALTH EDUCATION,UCNtCDRBJgqYfnC0oDt7f5Yg,2793005,40200,948
Christian Nutrition,UCYOhJyClzZrDLTqFiXsCM_A,2760046,3820,240
Indian Weight Loss Diet by Richa,UCzxt6fjQerr3baeRLOWRPEg,2699987,67500,109
Diet Shampoo,UCjxY3ifG36XFOP8LPSz_lUA,2693178,14900,132
BodyFirst Wellness Nutrition,UCS2aRwQoPzoiTnRtdrfZf3w,2673769,1170,82
Nutrition Way,UCXFDmK9729lI2n9n2EemDZQ,2659377,32700,376
My health diet - صحتي غذائي,UCC_3PsPcQ2_sThXBatajUFw,2611498,543000,10420
Health and Nutrition,UCkBZitMcu-SsQICBKQjUngQ,2572622,18100,130
रसाहार diet natural divine system by kiran watare,UCmKmKgd_SsMH3Qgllv95ZpQ,2511011,27600,376
Ebony Jane Nutrition,UCx8W2dZdWYObNImuacBKR1A,2497907,25800,203
Daily Diet Care,UCJsxJLkcLUZ9IIkT5af7p4g,2428421,7340,11
